id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
163,2023-11-10 06:06:56.978696+00:00,,t,local,11B,72766023459530379,648518346500883868,[ 22008 141856    687]
164,2023-11-10 06:06:56.979370+00:00,,t,local,17A,72554298818793704,648518346496491605,[ 15568 123024    813]
165,2023-11-10 06:06:56.980017+00:00,,t,local,11B,72977129624931116,648518346494030587,[ 27392 142928    545]
218,2023-11-11 02:48:12.684177+00:00,,t,local,2A_u,73328081536253207,648518346512079216,[ 37856 115488   3569]
166,2023-11-10 06:06:56.980685+00:00,,t,local,3B,72836529575310401,648518346487435178,[ 24560 145496    606]
167,2023-11-10 06:06:56.981473+00:00,,t,local,17A,72554230099426076,648518346489760473,[ 14760 122320    874]
168,2023-11-10 06:06:56.982113+00:00,,t,local,17A,72624667629986655,648518346465049205,[ 16880 123592    908]
169,2023-11-10 06:06:56.982770+00:00,,t,local,3B,72977542747443436,648518346496767796,[ 27680 153896   2184]
170,2023-11-10 06:06:56.983424+00:00,,t,local,11B,72977266996642372,648518346493991691,[ 28304 145648    508]
290,2023-11-13 05:23:56.923372+00:00,,t,ascending,t3_abd,73401610101081908,648518346485051549,[ 39280 209904   1073]
113,2023-11-09 04:40:27.618790+00:00,,t,local,5B,73258262815934699,648518346480747521,[ 35296 132648   3980]
344,2023-11-15 06:13:58.253205+00:00,,t,ascending,t3_uk,73964559651842893,648518346496572023,[ 55944 210120    291]
116,2023-11-09 04:40:27.620848+00:00,,t,local,6A,73540424652227276,648518346496803636,[ 44000 152408   3423]
172,2023-11-10 06:06:56.984693+00:00,,t,mn,DLM_5,73750361378386281,648518346517546564,[ 49280 117624    915]
173,2023-11-10 06:06:56.985341+00:00,,t,local,0A,73117525394641814,648518346492576699,[ 31680 131864   4125]
174,2023-11-10 06:06:56.985979+00:00,,t,intrinsic,19A,74455492935809968,648518346500762291,[ 69688 159928   2862]
286,2023-11-13 03:33:14.249474+00:00,,t,local,8A,72413699642029030,648518346492910256,[ 10912 127904   2558]
1163,2023-11-20 21:53:34.437939+00:00,,t,mn,neck,72975412644570267,648518346488163607,[27208 90632  2466]
